"Vestigingen van bedrijven; economische activiteit (SBI 2008), regio"
"Onderwerpen";"Vestigingen"
"Regio's";"Nederland"
"Perioden";"2015*"
"Bedrijfstakken/branches SBI 2008";"Aantal"
"A Landbouw, bosbouw en visserij";"71210"
"B Delfstoffenwinning";"465"
"C Industrie";"64100"
"D Energievoorziening";"1085"
"E Waterbedrijven en afvalbeheer";"2150"
"F Bouwnijverheid";"149010"
"G Handel";"263870"
"H Vervoer en opslag";"39160"
"I Horeca";"55380"
"J Informatie en communicatie";"80600"
"K Financiële dienstverlening";"111370"
"L Verhuur en handel van onroerend goed";"27100"
"M Specialistische zakelijke diensten";"301595"
"N Verhuur en overige zakelijke diensten";"67270"
"R Cultuur, sport en recreatie";"91280"
"S Overige dienstverlening";"92355"
"U Extraterritoriale organisaties";"5"
"© Centraal Bureau voor de Statistiek, Den Haag/Heerlen 16-8-2015"
